,umap_n_neighbors,umap_min_dist,umap_n_components,hdbscan_min_cluster_size,hdbscan_min_samples,cluster_selection_epsilon,silhouette_score
75,54,0.23,20,11,10,0.1773289671994003,0.6154553890228271
76,60,0.23,13,10,9,0.18054171584158485,0.6324589252471924
77,75,0.22,20,10,9,0.181478997339298,0.639764666557312
78,77,0.24,20,6,3,0.2140933045393939,0.4121249318122864
79,44,0.18,13,11,10,0.17735394282665684,0.6417451500892639
80,45,0.17,15,13,10,0.1791515649836426,0.6534378528594971
81,43,0.17,13,11,10,0.18254951512307388,0.6452077031135559
82,44,0.17,12,11,10,0.17766331114621361,0.6467553377151489
83,45,0.18,12,11,10,0.17792353969119365,0.6698727607727051
84,44,0.18,13,11,10,0.12479912329986056,0.6441450715065002
85,38,0.18,12,8,7,0.12823164338657192,0.5917143821716309
86,43,0.14,12,7,2,0.09107249477059809,0.4403303563594818
87,30,0.18,17,10,8,0.14716168606536933,0.6268544793128967
88,30,0.09,16,10,8,0.14332300893743494,0.6276659369468689
89,49,0.1,14,13,10,0.11229969181022982,0.6964440941810608
90,47,0.1,14,14,10,0.028398586185166608,0.6729788780212402
91,47,0.1,14,14,10,0.11045011116939955,0.6729788780212402
92,47,0.1,10,14,10,0.03171548866340271,0.6692907214164734
93,47,0.09,10,14,10,0.03186524544289254,0.6644673347473145
94,47,0.07,10,14,10,0.01943468599420621,0.665986955165863
95,48,0.06,10,14,10,0.029899794861700482,0.6922553777694702
96,48,0.05,10,15,10,0.003973297289246058,0.6819614768028259
97,47,0.05,10,15,10,0.001181258245127128,0.6760777235031128
98,48,0.05,10,15,11,0.002172166608873129,0.7065192461013794
99,51,0.05,10,15,11,0.008899013928906385,0.6716617345809937
100,51,0.05,15,16,11,0.0047689605920367695,0.6668887138366699
101,52,0.05,18,16,11,0.008090985499741262,0.649944007396698
102,50,0.03,15,15,11,0.04743040184985225,0.5510573387145996
103,40,0.05,11,17,11,0.0014079820936012577,0.6920070052146912
104,40,0.11,11,7,7,0.06743973591159005,0.6264030337333679
105,48,0.07,18,18,11,0.030836373989081074,0.6821796298027039
106,35,0.07,17,78,20,0.05102893978867022,0.4368584454059601
107,53,0.07,11,22,12,0.08766565580269153,0.6760746240615845
108,57,0.07,11,18,12,0.030714035486431084,0.6806298494338989
109,56,0.07,19,22,12,0.07350971139626208,0.4340451955795288
110,53,0.03,14,18,12,0.031017800556664015,0.696178674697876
111,54,0.03,16,18,12,0.03515080275752807,0.6952515244483948
112,54,0.02,16,18,12,0.03312227555331,0.6953018307685852
113,54,0.02,16,18,13,0.0008771856737731822,0.697184145450592
114,58,0.01,16,18,13,0.053494347609652555,0.689532458782196
115,58,0.02,22,18,13,0.0597631765609172,0.5773954391479492
116,55,0.0,16,26,14,0.02947827274481953,0.5929930210113525
117,61,0.03,18,18,13,0.04320644359038902,0.5696547031402588
118,57,0.01,16,17,12,0.0798825198674611,0.5744112730026245
119,49,0.03,19,21,13,0.04268387509979232,0.5701875686645508
120,54,0.04,14,24,15,0.058540635193952584,0.4559040069580078
121,50,0.06,25,18,12,0.0022120797065938893,0.4230118989944458
122,53,0.01,11,21,12,0.0009151881447693536,0.5908210277557373
123,65,0.04,16,17,11,0.02398414704305024,0.669373095035553
124,58,0.02,12,19,14,0.023310363741307658,0.5842065811157227
125,52,0.08,17,16,12,0.0935408411062946,0.6766087412834167
126,55,0.08,21,20,13,0.09830089255037887,0.44603195786476135
127,49,0.06,18,22,12,0.8079419996749441,0.33550962805747986
128,52,0.04,14,97,64,0.06014478340792473,0.40089958906173706
129,60,0.02,17,12,11,0.08402773482194686,0.7035900354385376
130,61,0.01,15,5,3,0.04339260265990832,0.5356791615486145
131,58,0.0,19,13,11,0.08757290182251323,0.589735209941864
132,63,0.02,17,17,11,0.0714177170864626,0.661379337310791
133,56,0.06,13,90,19,0.1107009703416347,0.3977546989917755
134,53,0.08,12,12,11,0.03478510008520831,0.6508079767227173
135,41,0.03,16,9,9,0.026237460785537854,0.49952325224876404
136,60,0.04,14,24,14,0.052578657178331,0.6813305616378784
137,60,0.04,14,25,14,0.054178171649970124,0.6824628710746765
138,65,0.04,14,23,15,0.054890865990485836,0.4348958730697632
139,60,0.02,21,25,14,0.06342114229041679,0.5701733827590942
140,49,0.01,13,20,13,0.07878565532082013,0.5979467034339905
141,57,0.04,11,17,13,0.019229463757219154,0.6938493251800537
142,62,0.04,15,51,16,0.01731004491319176,0.5117025971412659
143,60,0.03,12,12,11,0.0012006696887893256,0.6869891881942749
144,54,0.03,11,13,12,0.0023736972353834256,0.5794180035591125
145,57,0.06,10,8,8,0.042769868308208184,0.6761344075202942
146,51,0.0,12,15,13,0.017045100764274963,0.5855399966239929
147,55,0.05,13,13,11,0.001985340333774959,0.6697059273719788
148,25,0.02,16,16,13,0.10745432405621094,0.5813941955566406
149,64,0.03,19,19,11,0.04211727129723878,0.6792057752609253
150,60,0.01,12,12,11,0.06855185353543873,0.573267936706543
151,60,0.05,14,18,14,0.050956505204947336,0.7019102573394775
152,66,0.05,15,18,13,0.02588422321093187,0.4284118115901947
153,59,0.06,10,15,12,0.0007094308838248348,0.6875048279762268
154,59,0.02,17,21,14,0.07668787998414682,0.5883587002754211
155,62,0.06,14,9,5,0.03911868631097702,0.5964573621749878
156,58,0.03,12,16,12,0.018059636878678786,0.5789602398872375
157,56,0.04,10,18,12,0.05545097756292916,0.6719549298286438
158,54,0.0,13,61,31,0.09066793443619174,0.5405262112617493
159,63,0.06,18,12,11,0.11908572855524346,0.6726458668708801
160,68,0.08,15,21,15,0.021463617966382326,0.66776442527771
161,50,0.05,10,15,12,0.006203269065538461,0.6910820007324219
162,50,0.03,11,16,12,0.040079631275330124,0.5821439027786255
163,52,0.05,10,14,12,0.019431800068374604,0.6492483019828796
164,56,0.02,13,19,14,0.002979963539482081,0.6929664015769958
165,59,0.01,13,12,11,0.001213328592545463,0.5920417904853821
166,57,0.02,11,15,13,0.06193777138010197,0.6900027394294739
167,56,0.01,11,14,13,0.0011146093153264827,0.582268476486206
168,54,0.02,12,20,13,0.07230655879070316,0.5832298994064331
169,57,0.02,11,17,13,0.6561826391173143,0.35404109954833984
170,52,0.03,10,8,8,0.03818337249344451,0.6582961082458496
171,61,0.04,14,15,14,0.055627753351490936,0.6948163509368896
172,58,0.04,13,15,14,0.022032808906839764,0.584247350692749
173,62,0.0,16,11,11,0.059987297419942236,0.5893449187278748
174,56,0.05,15,19,14,0.04524548081389931,0.6782650351524353
175,61,0.03,12,17,13,0.08764317342472533,0.6866151690483093
176,55,0.02,13,13,12,0.019321269245989176,0.5690094828605652
177,50,0.06,14,15,12,0.05969260573744917,0.6756777167320251
178,64,0.04,10,10,10,0.0005948344604551469,0.6551274657249451
179,59,0.01,17,19,14,0.037168424888847876,0.5997000336647034
180,52,0.05,15,16,13,0.10103911379185601,0.6739786267280579
181,61,0.03,12,17,13,0.08156412599750656,0.6866151690483093
182,58,0.03,12,22,13,0.01745312735365521,0.5839866399765015
183,62,0.02,11,14,12,0.0719337726301989,0.6813570261001587
184,54,0.04,14,18,14,0.0381492683532203,0.5860641598701477
185,56,0.0,10,12,11,0.09093728630879029,0.6958758234977722
186,56,0.0,10,13,12,0.0004298463995571953,0.6891303062438965
187,56,0.0,10,14,12,0.12870725628702953,0.7052382826805115
188,53,0.0,10,10,10,0.09555266643239667,0.5833951234817505
189,56,0.0,14,7,5,0.13768784163915126,0.5009327530860901
190,50,0.01,16,12,11,0.11316318748160467,0.5978732705116272
191,57,0.01,10,14,12,0.5472648328422673,0.18578983843326569
192,54,0.0,10,16,12,0.05908509190409474,0.5829951167106628
193,55,0.02,12,20,13,0.026961745919995974,0.5796231627464294
194,58,0.01,13,14,12,0.04958423247143284,0.5864109396934509
195,45,0.02,10,17,12,0.019486531751141158,0.5728083848953247
196,52,0.0,11,55,16,0.07439461143312986,0.5826928615570068
197,48,0.05,13,13,12,0.03630618503215518,0.669361412525177
198,55,0.07,15,15,13,0.8964671421517242,0.2744993567466736
199,57,0.06,11,10,9,0.053107272869528294,0.6564450860023499
200,44,0.06,19,19,11,0.13956574816615494,0.6696792840957642
201,59,0.08,18,25,25,0.060444899713877856,0.5371075868606567
202,51,0.08,16,14,14,0.11727705756976106,0.4449232518672943
203,68,0.08,10,6,1,0.19954394423738714,0.1104806661605835
204,36,0.1,16,18,1,0.17046028893122767,0.42278939485549927
205,38,0.07,19,21,14,0.1565555374434516,0.4432876408100128
206,50,0.08,17,12,8,0.15753315457441067,0.6235975027084351
207,38,0.01,11,14,4,0.01330725217519917,0.596723198890686
208,68,0.06,14,12,6,0.0908968170884442,0.6339182257652283
209,40,0.01,12,5,5,0.18485686768782594,0.14772376418113708
210,45,0.04,20,20,12,0.11968679794481274,0.5757637619972229
211,60,0.04,14,10,8,0.07709463448152856,0.6546657681465149
212,58,0.04,14,9,8,0.06390802048138512,0.6461438536643982
213,28,0.03,13,17,11,0.0812258680734614,0.6688370704650879
214,29,0.02,12,17,11,0.03375271863792495,0.48950088024139404
215,28,0.03,20,23,20,0.12972075242155706,0.4245827794075012
216,32,0.0,13,17,11,0.13896425361456663,0.5819200277328491
217,44,0.06,16,20,15,0.10016801404328796,0.4544219374656677
218,33,0.05,18,16,10,0.04549002334959403,0.6631406545639038
219,53,0.1,15,22,16,0.10292679278998872,0.666170597076416
220,43,0.03,12,19,17,0.0013788311721880248,0.4934363067150116
221,55,0.1,15,22,17,0.10072008235323181,0.44376441836357117
222,54,0.09,15,24,20,0.1389835169369512,0.47827818989753723
223,47,0.06,13,22,13,0.08149559747961525,0.6725977063179016
224,47,0.06,13,19,13,0.08161866705272881,0.693490743637085
225,47,0.06,13,19,13,0.06475464457421026,0.693490743637085
226,48,0.05,10,23,13,0.0368899547519114,0.44663819670677185
227,48,0.07,13,25,20,0.05789883959188158,0.45048877596855164
228,46,0.07,11,21,9,0.07444393742278867,0.6685665845870972
229,41,0.06,11,19,13,0.024976552631810728,0.6860842108726501
230,42,0.05,11,15,12,0.014123984123001433,0.5748139023780823
231,47,0.06,13,19,13,0.04723106838010043,0.693490743637085
232,41,0.07,12,19,15,0.047086942042955424,0.4709756672382355
233,51,0.05,11,18,13,0.027843005089574054,0.6856775879859924
